Region_Code,Region_Name,Station_Name,Station_Local_Name,Display_Name,EPW_File,Latitude,Longitude,Altitude,HDD_base20,CDD_base26,HDD_degree_hours,CDD_degree_hours
SC,Sicily,Pantelleria,Pantelleria.AP,ITA_SC_Pantelleria.Sicily,ITA_SC_Pantelleria.AP.164700_TMYx.2011-2025.epw,36.8139,11.9711,198.0,1014.0,68.0,24336.0,1632.0
SC,Sicily,Prizzi,Prizzi,ITA_SC_Prizzi.Sicily,ITA_SC_Prizzi.164340_TMYx.2011-2025.epw,37.7228,13.4281,1035.0,2023.2458333333334,84.58333333333334,48557.9,2030.0000000000002
SC,Sicily,Sciacca,Sciacca,ITA_SC_Sciacca.Sicily,ITA_SC_Sciacca.164360_TMYx.2011-2025.epw,37.5136,13.1267,126.0,1342.4541666666667,37.84583333333334,32218.9,908.3000000000001
SC,Sicily,Siracusa,Siracusa,ITA_SC_Siracusa.Sicily,ITA_SC_Siracusa.164640_TMYx.2011-2025.epw,37.0661,15.2794,3.0,1040.6625000000001,181.40416666666667,24975.9,4353.7
SC,Sicily,Trapani,Trapani.Birgi.AP,ITA_SC_Trapani.Sicily,ITA_SC_Trapani.Birgi.AP.164290_TMYx.2011-2025.epw,37.9142,12.4914,9.3,1162.6958333333332,128.52916666666667,27904.699999999997,3084.7
SC,Sicily,Ustica,Ustica.Island,ITA_SC_Ustica.Sicily,ITA_SC_Ustica.Island.164000_TMYx.2011-2025.epw,38.7072,13.1772,243.0,1058.5249999999999,104.20416666666667,25404.6,2500.9
SD,Sardinia,Alghero-Fertilia,Alghero-Fertilia.AB,ITA_SD_Alghero-Fertilia.Sardinia,ITA_SD_Alghero-Fertilia.AB.165200_TMYx.2011-2025.epw,40.6311,8.2886,40.0,1384.9375,129.025,33238.5,3096.6000000000004
SD,Sardinia,Cagliari,Cagliari.AP-Elmas.AB,ITA_SD_Cagliari.Sardinia,ITA_SD_Cagliari.AP-Elmas.AB.165600_TMYx.2011-2025.epw,39.2436,9.06,2.2,1439.8291666666667,160.15833333333333,34555.9,3843.7999999999997
SD,Sardinia,Cape,Cape.S.Lorenzo,ITA_SD_Cape.Sardinia,ITA_SD_Cape.S.Lorenzo.165420_TMYx.2011-2025.epw,39.4981,9.6294,5.0,1380.3666666666668,161.23333333333335,33128.8,3869.6000000000004
SD,Sardinia,Decimomannu,Decimomannu.AB,ITA_SD_Decimomannu.Sardinia,ITA_SD_Decimomannu.AB.165460_TMYx.2011-2025.epw,39.3461,8.9675,24.0,1611.2916666666667,222.42083333333332,38671.0,5338.099999999999
SD,Sardinia,Limbara,Limbara.Mtn,ITA_SD_Limbara.Sardinia,ITA_SD_Limbara.Mtn.165320_TMYx.2011-2025.epw,40.85,9.167,1363.0,1964.2041666666664,98.85833333333335,47140.899999999994,2372.6000000000004
SD,Sardinia,Olbia-Costa,Olbia-Costa.Smeralda.AP,ITA_SD_Olbia-Costa.Sardinia,ITA_SD_Olbia-Costa.Smeralda.AP.165310_TMYx.2011-2025.epw,40.8986,9.5178,13.0,1527.8583333333336,191.82916666666668,36668.600000000006,4603.900000000001
SD,Sardinia,Perdasdefogu,Perdasdefogu,ITA_SD_Perdasdefogu.Sardinia,ITA_SD_Perdasdefogu.165410_TMYx.2011-2025.epw,39.6747,9.4431,645.0,2046.7124999999999,132.74166666666665,49121.1,3185.7999999999997
TC,Tuscany,Arezzo-Molin,Arezzo-Molin.Bianco.AP,ITA_TC_Arezzo-Molin.Tuscany,ITA_TC_Arezzo-Molin.Bianco.AP.161720_TMYx.2011-2025.epw,43.4597,11.8456,249.0,2602.0958333333333,122.19166666666666,62450.299999999996,2932.6
TC,Tuscany,Argentario,Argentario.Mtn,ITA_TC_Argentario.Tuscany,ITA_TC_Argentario.Mtn.161680_TMYx.2011-2025.epw,42.387,11.1697,631.3,1532.0583333333334,82.97083333333332,36769.4,1991.2999999999997
TC,Tuscany,Calamita,Calamita.Mtn,ITA_TC_Calamita.Tuscany,ITA_TC_Calamita.Mtn.161970_TMYx.2011-2025.epw,42.7311,10.3956,397.0,1462.9833333333333,46.333333333333336,35111.6,1112.0
TC,Tuscany,Firenze,Firenze,ITA_TC_Firenze.Tuscany,ITA_TC_Firenze.161710_TMYx.2011-2025.epw,43.7856,11.2158,19.0,2283.491666666667,168.9625,54803.8,4055.1
